"","ASC_alt1_hh_inc_abs_0","ASC_alt1_hh_inc_abs_1","ASC_alt1_hh_inc_abs_2","ASC_alt1_hh_inc_abs_3","ASC_alt1_hh_inc_abs_4","b_alt1_time_log_car_availability_0","b_alt1_time_log_car_availability_1","b_alt2_time_log_car_availability_0","b_alt2_time_log_car_availability_1","L_cost","b_alt1_cost_box_cox_car_availability_0","b_alt1_cost_box_cox_car_availability_1","b_alt2_cost_box_cox_car_availability_0","b_alt2_cost_box_cox_car_availability_1","b_alt1_headway_log_purpose_1","b_alt1_headway_log_purpose_2","b_alt1_headway_log_purpose_3","b_alt1_headway_log_purpose_4","b_alt2_headway_log_purpose_1","b_alt2_headway_log_purpose_2","b_alt2_headway_log_purpose_3","b_alt2_headway_log_purpose_4","b_interchanges_generic_business_0","b_interchanges_generic_business_1"
"b_alt1_cost_box_cox_car_availability_0",-5281488.02914075,-4015626.92786683,-1736825.42481401,-5145549.0392982,-720282.287147711,-81296106.3729745,0,81766712.3556021,-0.227373675443232,-238082732.948897,-16279939674931.5,-0.454747350886464,63499736674297.5,-0.227373675443232,-1234284.58209673,-107738.742372021,-48193390.7394705,-6764196.54155325,1199387.49776338,111183.226181311,46972909.1037152,6295510.27486741,-3776413.22302225,-24918.1084654992
"b_alt1_cost_box_cox_car_availability_1",-1209003.35787155,-7174594.42967083,-3520845.6665714,-5387761.80292189,-2266923.04750031,0.454747350886464,-92710883.5639956,0.227373675443232,94017120.090939,-81675404.5445123,-0.454747350886464,-14625392194420.8,0.227373675443232,16532528142414.8,-563141.611564788,-3424.02017849963,-32810302.1729476,-31807454.6612479,537414.280188386,3642.52628060058,33870629.7497993,30078939.7442713,-402372.279495467,-16820.1950145885
"b_alt2_cost_box_cox_car_availability_0",5257684.50643227,3535144.28752533,1802523.00197026,4698537.62297134,677234.766044421,77848459.5684859,0.454747350886464,-77065180.4486988,0.454747350886464,-281168878.700555,63499736674297.5,0.227373675443232,-14941442879248.4,0.227373675443232,1497155.15362914,96347.5486059906,43245717.2792056,7186407.17423114,-1483631.42216112,-99901.6265268438,-47053353.227966,-6813630.30707871,-4406552.53441946,-192457.264347468
"b_alt2_cost_box_cox_car_availability_1",1172417.56925068,7223967.0316776,3415882.01990817,5911138.94188311,2957196.10221568,0.454747350886464,99828826.4781877,0,-98433099.083195,-44868707.1639142,-0.227373675443232,16532528142414.8,0.227373675443232,-19549581450875.8,530906.39084985,3436.07098329812,33957800.042117,33456437.6771596,-512435.235577868,-3675.2680898644,-36257933.9707736,-32688652.7091119,-2175084.54625204,-3381248.23429098
"b_alt1_headway_log_purpose_1",-100.044417195022,-122.781784739345,-105.50138540566,-91.4042175281793,-92.086338554509,-1032.04911283683,-637.32841226738,1026.59214462619,640.056896372698,0.454747350886464,-1234284.58209673,-563141.611564788,1497155.15362914,530906.39084985,-1755.55214809719,0.227373675443232,0.227373675443232,0,1699.61822393816,0,0.227373675443232,-0.227373675443232,33.8786776410416,-0.227373675443232
"b_alt1_headway_log_purpose_2",-20.2362571144477,-64.1193764749914,-47.7484718430787,-3.86535248253495,-6.3664629124105,-322.415871778503,-60.4813976678997,323.097992804833,61.1635186942294,0.454747350886464,-107738.742372021,-3424.02017849963,96347.5486059906,3436.07098329812,0.227373675443232,-486.12491809763,0.454747350886464,0.227373675443232,0.227373675443232,478.39421313256,0.227373675443232,0.227373675443232,-7.27595761418343,0.227373675443232
"b_alt1_headway_log_purpose_3",-291.26567824278,-332.420313498005,-211.684891837649,-88.220986071974,-105.50138540566,-2411.52520175092,-1543.6398825841,2413.57156482991,1551.14321387373,-4.32009983342141,-48193390.7394705,-32810302.1729476,43245717.2792056,33957800.042117,0.227373675443232,0.454747350886464,-3496.55238096602,0,0.454747350886464,0.227373675443232,3414.01573678013,0.227373675443232,17.0530256582424,0.454747350886464
"b_alt1_headway_log_purpose_4",-13.1876731757075,-46.3842297904193,-47.975845518522,-60.2540239924565,-46.6116034658626,-418.59493649099,-481.577444588766,414.502210333012,479.303707834333,-59.5719029661268,-6764196.54155325,-31807454.6612479,7186407.17423114,33456437.6771596,0,0.227373675443232,0,-744.194039725699,0,0.227373675443232,0,721.456672181375,0,23.6468622460961
"b_alt2_headway_log_purpose_1",99.1349224932492,120.508047984913,106.410880107433,90.2673491509631,92.086338554509,1007.49275588896,647.787601337768,-1004.5368981082,-645.513864583336,0.227373675443232,1199387.49776338,537414.280188386,-1483631.42216112,-512435.235577868,1699.61822393816,0.227373675443232,0.454747350886464,0,-1725.53882293869,0.227373675443232,0.227373675443232,0.227373675443232,13.8697942020372,0
"b_alt2_headway_log_purpose_2",21.600499167107,64.3467501504347,46.6116034658626,3.86535248253495,7.27595761418343,324.462234857492,61.3908923696727,-324.234861182049,-60.4813976678997,0.227373675443232,111183.226181311,3642.52628060058,-99901.6265268438,-3675.2680898644,0,478.39421313256,0.227373675443232,0.227373675443232,0.227373675443232,-492.036633659154,0.454747350886464,0.227373675443232,19.0993887372315,0.227373675443232
"b_alt2_headway_log_purpose_3",291.26567824278,332.192939822562,214.868123293854,89.5852281246334,103.682396002114,2414.02631218079,1549.32422447018,-2413.11681747902,-1549.77897182107,-7.95807864051312,46972909.1037152,33870629.7497993,-47053353.227966,-36257933.9707736,0.227373675443232,0.227373675443232,3414.01573678013,0,0.227373675443232,0.454747350886464,-3496.09763361514,0.227373675443232,31.1501935357228,0.227373675443232
"b_alt2_headway_log_purpose_4",13.1876731757075,42.9736246587709,46.6116034658626,62.0730133960024,48.8853402202949,405.17988963984,487.943907501176,-401.087163481861,-483.169060316868,56.843418860808,6295510.27486741,30078939.7442713,-6813630.30707871,-32688652.7091119,-0.227373675443232,0.227373675443232,0.227373675443232,721.456672181375,0.227373675443232,0.227373675443232,0.227373675443232,-735.781213734299,-0.227373675443232,-9.54969436861575
"b_interchanges_generic_business_0",-1.59161572810262,-1.36424205265939,-8.18545231595635,2.27373675443232,4.77484718430787,-30.2406988339499,49.3400875711814,39.7903932025656,-37.2892827726901,-4.77484718430787,-3776413.22302225,-402372.279495467,-4406552.53441946,-2175084.54625204,33.8786776410416,-7.27595761418343,17.0530256582424,0,13.8697942020372,19.0993887372315,31.1501935357228,-0.227373675443232,-588.443072047085,0
"b_interchanges_generic_business_1",1.36424205265939,1.13686837721616,1.59161572810262,1.81898940354586,-1.59161572810262,19.3267624126747,2.27373675443232,-19.3267624126747,-0.454747350886464,6.3664629124105,-24918.1084654992,-16820.1950145885,-192457.264347468,-3381248.23429098,-0.227373675443232,0.227373675443232,0.454747350886464,23.6468622460961,0,0.227373675443232,0.227373675443232,-9.54969436861575,0,-84.1282599139959
