id,obs_id,choice,chosen_alt,av_walk,av_cycle,av_pt,av_drive,dur_walking,dur_cycling,dur_pt,dur_driving,dur_pt_access,cost_transit,cost_drive,pt_interchanges,driving_traffic_percent,household_id,person_n,purpose,age,female,driving_license,car_ownership
32,33,1,walk,1,1,1,1,0.180277778,0.0625,0.020833333,0.0605555559999999,0.101388889,1.5,0.14,0,0.169725,8,2,3,1,0,0,1
33,34,4,drive,1,1,1,1,0.669444444,0.1891666669999999,0.2166666669999999,0.210277778,0.181111111,1.5,0.6,0,0.257596,8,2,5,1,0,0,1
34,35,4,drive,1,1,1,1,0.567777778,0.147777778,0.146388889,0.1425,0.1769444439999999,1.5,0.43,0,0.261209,8,2,3,1,0,0,1
35,36,4,drive,1,1,1,1,0.467222222,0.144444444,0.225,0.200833333,0.146944444,1.5,0.48,0,0.378976,9,0,3,3,0,1,2
36,37,4,drive,1,1,1,1,0.469722222,0.138333333,0.107777778,0.207777778,0.194722222,1.5,0.49,0,0.467914,9,0,3,3,0,1,2
37,38,4,drive,1,1,1,1,0.467222222,0.144444444,0.225,0.200833333,0.146944444,0.0,0.48,0,0.378976,9,1,3,1,1,0,2
38,39,4,drive,1,1,1,1,0.469722222,0.138333333,0.107777778,0.207777778,0.194722222,0.0,0.49,0,0.467914,9,1,3,1,1,0,2
39,40,4,drive,1,1,1,1,0.467222222,0.144444444,0.225,0.200833333,0.146944444,0.0,0.48,0,0.378976,9,2,3,1,1,0,2
40,41,4,drive,1,1,1,1,0.469722222,0.138333333,0.107777778,0.207777778,0.194722222,0.0,0.49,0,0.467914,9,2,3,1,1,0,2
41,42,4,drive,1,1,1,1,0.467222222,0.144444444,0.225,0.200833333,0.146944444,0.0,0.48,0,0.378976,9,3,3,1,1,0,2
42,43,4,drive,1,1,1,1,0.469722222,0.138333333,0.107777778,0.207777778,0.194722222,0.0,0.49,0,0.467914,9,3,3,1,1,0,2
43,44,3,pt,1,1,1,1,0.6769444440000001,0.211111111,0.46527777800000003,0.167777778,0.072777778,3.0,0.44,1,0.145695,10,0,3,1,1,0,0
44,45,3,pt,1,1,1,1,0.6972222220000001,0.213888889,0.1888888889999999,0.195277778,0.2638888889999999,1.5,0.51,0,0.352774,10,0,3,1,1,0,0
45,46,1,walk,1,1,1,1,0.133888889,0.03,0.019166667,0.0375,0.064166667,0.0,0.1,0,0.0444444,11,0,3,4,1,0,0
46,47,4,drive,1,1,1,1,0.334722222,0.114722222,0.070277778,0.072222222,0.136388889,0.0,0.24,0,0.107692,12,0,3,4,0,1,1
47,48,4,drive,1,1,1,1,1.823611111,0.554444444,0.680833333,0.355555556,0.082222222,0.0,1.28,1,0.302344,12,0,5,4,0,1,1
48,49,4,drive,1,1,1,1,1.814722222,0.615555556,0.586666666,0.355555556,0.0625,0.0,1.35,1,0.249219,12,0,5,4,0,1,1
49,50,4,drive,1,1,1,1,0.297777778,0.097222222,0.061944444,0.0625,0.0825,0.0,0.2,0,0.124444,12,0,3,4,0,1,1
50,51,4,drive,1,1,1,1,0.334722222,0.114722222,0.070277778,0.072222222,0.136388889,1.5,0.21,0,0.107692,12,1,3,3,1,1,1
51,52,4,drive,1,1,1,1,1.823611111,0.554444444,0.680833333,0.355555556,0.082222222,3.0,1.12,1,0.302344,12,1,5,3,1,1,1
52,53,4,drive,1,1,1,1,1.814722222,0.615555556,0.586666666,0.355555556,0.0625,3.0,1.19,1,0.249219,12,1,5,3,1,1,1
53,54,4,drive,1,1,1,1,0.297777778,0.097222222,0.061944444,0.0625,0.0825,1.5,0.17,0,0.124444,12,1,3,3,1,1,1
54,55,4,drive,1,1,1,1,0.109166667,0.053888889,0.0175,0.032222222,0.064166667,1.5,0.11,0,0.103448,12,2,3,2,1,1,1
55,56,4,drive,1,1,1,1,0.113055556,0.031666667,0.007777778,0.017222222,0.069166667,1.5,0.07,0,0.16129,12,2,3,2,1,1,1
56,57,4,drive,1,1,1,1,0.109166667,0.053888889,0.0175,0.032222222,0.064166667,0.0,0.09,0,0.103448,12,3,3,1,1,0,1
57,58,4,drive,1,1,1,1,0.113055556,0.031666667,0.007777778,0.017222222,0.069166667,0.0,0.06,0,0.16129,12,3,3,1,1,0,1
58,59,3,pt,1,1,1,1,0.6625,0.2325,0.1166666669999999,0.193611111,0.130555556,1.5,0.57,0,0.395983,13,0,3,3,1,0,1
59,60,3,pt,1,1,1,1,0.6083333329999999,0.230555556,0.083333333,0.233055556,0.049166667,1.5,0.61,0,0.3814059999999999,13,0,3,3,1,0,1
60,61,3,pt,1,1,1,1,0.921388889,0.288611111,0.525,0.251388889,0.0125,3.9,0.7,1,0.2419889999999999,13,0,3,3,1,0,1
61,62,4,drive,1,1,1,1,0.876944444,0.240833333,0.391666667,0.2125,0.0325,1.5,0.67,0,0.203922,13,0,3,3,1,0,1
62,63,4,drive,1,1,1,1,2.920277778,0.924722222,0.95,0.556111111,0.014722222,0.0,1.95,3,0.437063,13,1,3,4,0,1,1
63,64,4,drive,1,1,1,1,2.921111111,0.918611111,0.95,0.693888889,0.011666667,0.0,2.08,2,0.6249,13,1,3,4,0,1,1
64,65,3,pt,1,1,1,1,3.354722222,1.0169444440000002,0.866666666,0.926666667,0.029166667,0.0,2.47,2,0.5602520000000001,13,1,3,4,0,1,1
65,66,3,pt,1,1,1,1,3.3388888889999997,1.082222222,1.045000001,0.863888889,0.050833333,0.0,2.6,2,0.675884,13,1,5,4,0,1,1
66,67,4,drive,1,1,1,1,0.346111111,0.100277778,0.096666667,0.091388889,0.0608333329999999,0.0,0.25,0,0.4437689999999999,13,1,5,4,0,1,1
67,68,4,drive,1,1,1,1,0.876944444,0.240833333,0.391666667,0.2069444439999999,0.0325,0.0,0.67,0,0.1597319999999999,13,1,3,4,0,1,1
68,69,3,pt,1,1,1,1,3.001388889,0.96,1.187222223,0.514166667,0.03,4.3,1.96,2,0.321448,13,2,3,1,0,0,1
69,70,4,drive,1,1,1,1,2.996944444,0.9725,1.217222222,0.716944444,0.029444444,6.0,2.16,3,0.58272,13,2,3,1,0,0,1
70,71,3,pt,1,1,1,1,0.842777778,0.3125,0.15,0.2425,0.158333333,2.4,0.72,0,0.382589,13,2,3,1,0,0,1
71,72,3,pt,1,1,1,1,0.8075,0.262222222,0.133333333,0.213333333,0.162222222,2.4,0.61,0,0.261719,13,2,3,1,0,0,1
72,73,4,drive,1,1,1,1,0.1447222219999999,0.0502777779999999,0.0388888889999999,0.037777778,0.0430555559999999,0.0,0.11,0,0.2426469999999999,14,0,3,4,1,1,2
73,74,4,drive,1,1,1,1,0.202777778,0.090833333,0.036388889,0.061388889,0.0777777779999999,0.0,0.16,0,0.221719,14,0,3,4,1,1,2
74,75,4,drive,1,1,1,1,0.23,0.067222222,0.033888889,0.067777778,0.136388889,0.0,0.2,0,0.151639,14,0,3,4,1,1,2
75,76,4,drive,1,1,1,1,0.258333333,0.110555556,0.027222222,0.072222222,0.161944444,0.0,0.2,0,0.0846154,14,0,3,4,1,1,2
76,77,1,walk,1,1,1,1,0.398055556,0.1375,0.074722222,0.142777778,0.188611111,1.5,0.33,0,0.342412,15,0,3,2,0,1,0
77,78,1,walk,1,1,1,1,0.28,0.146666667,0.099444444,0.140833333,0.095,1.5,0.33,0,0.3668639999999999,15,0,5,2,0,1,0
78,79,1,walk,1,1,1,1,0.185833333,0.068055556,0.020277778,0.067222222,0.106111111,1.5,0.13,0,0.260331,15,0,3,2,0,1,0
79,80,3,pt,1,1,1,1,3.400277778,1.200555556,0.9583333329999999,0.855833333,0.251944444,0.0,2.29,1,0.431029,16,0,3,4,0,1,0
80,81,3,pt,1,1,1,1,2.858333333,0.860833333,0.65,0.8158333329999999,0.276666667,0.0,2.02,2,0.60572,16,0,5,4,0,1,0
81,82,3,pt,1,1,1,1,0.664444444,0.2263888889999999,0.2022222219999999,0.180833333,0.115,0.0,0.46,0,0.373272,16,0,3,4,0,1,0
82,83,4,drive,1,1,1,1,0.642777778,0.206111111,0.15,0.1769444439999999,0.132222222,0.0,0.47,0,0.230769,16,0,3,4,0,1,0
83,84,4,drive,1,1,1,1,0.664444444,0.2263888889999999,0.142777778,0.153055556,0.115,0.0,0.43,0,0.217786,16,0,3,4,0,1,0
84,85,4,drive,1,1,1,1,0.933333333,0.280833333,0.491666667,0.163333333,0.123888889,0.0,0.52,0,0.103741,17,1,3,4,0,1,1
85,86,4,drive,1,1,1,1,0.945555556,0.293888889,0.4977777779999999,0.1591666669999999,0.2,0.0,0.53,0,0.216405,17,1,3,4,0,1,1
86,87,4,drive,1,1,1,1,1.929722222,0.562777778,0.166666667,0.3425,0.3375,1.9,1.35,0,0.300892,17,3,3,2,0,1,1
87,88,4,drive,1,1,1,1,1.926944444,0.521111111,0.183333333,0.359444444,0.3444444439999999,1.9,1.3,0,0.391808,17,3,3,2,0,1,1
88,89,4,drive,1,1,1,1,1.929722222,0.562777778,0.166666667,0.3425,0.3375,1.9,1.35,0,0.300892,17,4,3,2,0,1,1
89,90,4,drive,1,1,1,1,1.926944444,0.521111111,0.183333333,0.359444444,0.3444444439999999,1.9,1.3,0,0.391808,17,4,3,2,0,1,1
90,91,4,drive,1,1,1,1,0.315277778,0.112222222,0.064444444,0.128611111,0.163888889,1.5,0.3,0,0.144708,18,0,3,2,1,0,0
91,92,4,drive,1,1,1,1,0.301666667,0.086388889,0.044444444,0.081666667,0.156111111,1.5,0.2,0,0.170068,18,0,3,2,1,0,0
92,93,3,pt,1,1,1,1,3.327222222,1.018055556,0.788055556,0.7919444440000001,0.095277778,4.3,2.76,2,0.468257,19,0,3,2,1,1,1
93,94,3,pt,1,1,1,1,3.305277778,0.984444444,0.7050000000000001,0.7161111109999999,0.168611111,4.3,2.58,2,0.499612,19,0,3,2,1,1,1
94,95,3,pt,1,1,1,1,3.331388889,1.026388889,0.788055556,0.7919444440000001,0.099444444,0.0,2.76,2,0.468257,19,2,3,1,0,0,1
95,96,3,pt,1,1,1,1,3.309722222,0.993055556,0.7050000000000001,0.7161111109999999,0.173055556,0.0,2.58,2,0.499612,19,2,3,1,0,0,1
96,97,3,pt,1,1,1,1,3.331388889,1.026388889,0.788055556,0.7919444440000001,0.099444444,0.0,2.76,2,0.468257,19,3,3,1,1,0,1
97,98,3,pt,1,1,1,1,3.309722222,0.993055556,0.7050000000000001,0.7161111109999999,0.173055556,0.0,2.58,2,0.499612,19,3,3,1,1,0,1
98,99,4,drive,1,1,1,1,3.356388889,1.0655555559999998,0.483333333,0.739166667,0.2347222219999999,2.8,2.24,0,0.568959,20,0,3,3,1,1,1
99,100,4,drive,1,1,1,1,3.329722222,1.025555556,0.466666667,0.6102777779999999,0.24,2.8,2.12,0,0.4852069999999999,20,0,3,3,1,1,1
100,101,4,drive,1,1,1,1,3.356388889,1.0655555559999998,0.483333333,0.739166667,0.2347222219999999,2.8,2.24,0,0.568959,20,1,3,3,0,1,1
101,102,4,drive,1,1,1,1,3.329722222,1.025555556,0.466666667,0.6102777779999999,0.24,2.8,2.12,0,0.4852069999999999,20,1,3,3,0,1,1
102,103,2,cycle,1,1,1,1,1.4202777780000002,0.4769444439999999,0.5666666669999998,0.250833333,0.339722222,3.0,0.89,1,0.170543,20,2,3,1,0,1,1
103,104,2,cycle,1,1,1,1,1.3675,0.404166667,0.43555555599999995,0.250277778,0.292222222,3.0,1.0,1,0.250832,20,2,3,1,0,1,1
104,105,4,drive,1,1,1,1,0.5147222220000001,0.1472222219999999,0.066666667,0.106111111,0.266944444,1.5,0.34,0,0.164921,21,0,3,3,0,1,2
105,106,4,drive,1,1,1,1,0.516944444,0.1436111109999999,0.15,0.125833333,0.126388889,1.5,0.37,0,0.154525,21,0,3,3,0,1,2
106,107,1,walk,1,1,1,1,0.365,0.109722222,0.066666667,0.095277778,0.218611111,1.5,0.26,0,0.131195,22,0,3,2,1,1,2
107,108,3,pt,1,1,1,1,3.982777778,1.175,0.9950000009999999,0.508888889,0.134444444,5.8,2.63,2,0.348253,22,0,5,2,1,1,2
108,109,4,drive,1,1,1,1,1.306111111,0.3913888889999999,0.45,0.236111111,0.238055556,3.0,0.87,1,0.0341176,22,0,3,2,1,1,2
109,110,1,walk,1,1,1,1,0.365,0.109722222,0.066666667,0.095277778,0.218611111,1.5,0.26,0,0.131195,22,1,3,2,0,1,2
110,111,4,drive,1,1,1,1,1.16,0.318055556,0.283333333,0.231111111,0.246111111,1.5,0.83,0,0.259615,22,1,3,2,0,1,2
111,112,4,drive,1,1,1,1,1.157222222,0.328333333,0.316666667,0.210833333,0.222222222,1.5,0.8,0,0.200264,22,1,3,2,0,1,2
112,113,3,pt,1,1,1,1,4.1213888889999994,1.199722222,1.011666667,0.5066666670000001,0.176666667,0.0,2.42,2,0.351425,22,2,5,1,1,0,2
113,114,4,drive,1,1,1,1,1.254722222,0.380555556,0.4419444449999999,0.221111111,0.248055556,0.0,0.71,1,0.0351759,22,2,3,1,1,0,2
114,115,4,drive,1,1,1,1,0.590833333,0.169166667,0.113333333,0.123333333,0.155277778,1.5,0.34,0,0.1531529999999999,23,0,5,2,1,1,2
115,116,4,drive,1,1,1,1,0.590833333,0.169166667,0.113333333,0.123333333,0.155277778,1.5,0.34,0,0.1531529999999999,23,1,5,2,0,1,2
116,117,3,pt,1,1,1,1,1.216944444,0.3727777779999999,0.39833333299999996,0.208611111,0.076944444,0.0,0.69,1,0.182423,24,0,3,4,1,0,0
117,118,3,pt,1,1,1,1,1.158333333,0.332222222,0.213888889,0.233333333,0.304166667,0.0,0.71,0,0.215476,24,0,3,4,1,0,0
118,119,3,pt,1,1,1,1,6.336666667,2.080555556,1.683611111,1.315,0.084444444,0.0,5.24,3,0.440008,25,0,3,4,0,1,2
119,120,3,pt,1,1,1,1,6.346388889,2.071111111,1.354166666,1.24,0.309444444,0.0,5.16,3,0.393817,25,0,3,4,0,1,2
120,121,1,walk,1,1,1,1,0.301666667,0.093888889,0.05,0.063888889,0.118333333,0.0,0.17,0,0.2130429999999999,25,0,3,4,0,1,2
121,122,1,walk,1,1,1,1,0.330277778,0.1291666669999999,0.046388889,0.0611111109999999,0.157777778,0.0,0.17,0,0.190909,25,0,3,4,0,1,2
122,123,4,drive,1,1,1,1,0.816666667,0.258611111,0.257777778,0.2072222219999999,0.040833333,0.0,0.61,0,0.36193,26,0,3,4,0,1,2
123,124,4,drive,1,1,1,1,0.3975,0.204166667,0.120277778,0.1172222219999999,0.09,0.0,0.37,0,0.0450237,26,0,5,4,0,1,2
124,125,4,drive,1,1,1,1,0.905,0.281111111,0.3472222229999999,0.1938888889999999,0.208611111,0.0,0.7,1,0.159026,26,0,5,4,0,1,2
125,126,4,drive,1,1,1,1,0.241666667,0.055,0.016666667,0.056111111,0.193055556,0.0,0.19,0,0.049505,26,0,1,4,0,1,2
126,127,4,drive,1,1,1,1,0.462222222,0.145,0.091944444,0.075555556,0.164444444,1.5,0.28,0,0.125,26,1,3,3,1,1,2
127,128,4,drive,1,1,1,1,0.4508333329999999,0.136388889,0.0605555559999999,0.082777778,0.161944444,1.5,0.29,0,0.191275,26,1,3,3,1,1,2
128,129,4,drive,1,1,1,1,0.462222222,0.145,0.091944444,0.085833333,0.164444444,1.5,0.29,0,0.365696,26,1,3,3,1,1,2
129,130,4,drive,1,1,1,1,0.775833333,0.207777778,0.3475,0.163333333,0.1591666669999999,1.5,0.54,0,0.248299,26,1,5,3,1,1,2
130,131,4,drive,1,1,1,1,1.1705555559999998,0.368888889,0.183333333,0.216944444,0.251666667,2.5,0.75,0,0.275288,26,1,3,3,1,1,2
131,132,3,pt,1,1,1,1,3.702777778,1.188055556,0.733333333,1.013055556,0.2288888889999999,0.0,13.1,1,0.627091,27,0,3,4,0,1,0
132,133,3,pt,1,1,1,1,3.794444444,1.2430555559999998,0.4833333339999999,1.030833333,0.3419444439999999,0.0,13.11,1,0.605228,27,0,3,4,0,1,0
133,134,3,pt,1,1,1,1,3.702777778,1.188055556,0.733333333,1.013055556,0.2288888889999999,0.0,13.1,1,0.627091,27,1,3,4,1,1,0
134,135,3,pt,1,1,1,1,3.794444444,1.2430555559999998,0.5666666659999999,0.916111111,0.3419444439999999,0.0,13.01,1,0.564281,27,1,3,4,1,1,0
135,136,4,drive,1,1,1,1,0.306388889,0.085833333,0.066666667,0.105,0.252222222,0.0,0.33,0,0.1402119999999999,28,0,3,4,0,1,2
136,137,4,drive,1,1,1,1,0.308888889,0.074444444,0.133333333,0.123055556,0.159722222,0.0,0.35,0,0.0948081,28,0,3,4,0,1,2
137,138,4,drive,1,1,1,1,1.753333333,0.658055556,0.333333333,0.327777778,0.2575,0.0,1.12,0,0.30678,28,0,3,4,0,1,2
138,139,4,drive,1,1,1,1,1.677777778,0.5375,0.5166666670000001,0.2825,0.097777778,0.0,1.11,0,0.139626,28,0,3,4,0,1,2
139,140,3,pt,1,1,1,1,2.361111111,0.601666667,0.511666666,0.374166667,0.129722222,3.0,1.27,1,0.357832,29,0,1,4,0,0,1
140,141,3,pt,1,1,1,1,2.369166667,0.561666667,0.366666667,0.283333333,0.163888889,1.5,1.13,0,0.3029409999999999,29,0,1,4,0,0,1
141,142,3,pt,1,1,1,1,2.361111111,0.601666667,0.511666666,0.374166667,0.129722222,3.0,1.27,1,0.357832,29,1,1,3,1,0,1
142,143,3,pt,1,1,1,1,2.369166667,0.561666667,0.366666667,0.283333333,0.163888889,1.5,1.13,0,0.3029409999999999,29,1,1,3,1,0,1
143,144,4,drive,1,1,1,1,2.201388889,0.7,0.366666667,0.331111111,0.26,0.0,1.49,0,0.355705,29,2,1,2,1,1,1
144,145,4,drive,1,1,1,1,2.2166666669999997,0.7263888890000001,0.25,0.308055556,0.285555556,0.0,1.56,0,0.281335,29,2,1,2,1,1,1
145,146,3,pt,1,1,1,1,1.190833333,0.366111111,0.681111111,0.366666667,0.040277778,3.0,0.82,1,0.483333,30,0,3,2,1,1,1
146,147,1,walk,1,1,1,1,0.075555556,0.048333333,0.0194444439999999,0.019722222,0.062222222,1.5,0.04,0,0.2112679999999999,30,0,5,2,1,1,1
147,148,3,pt,1,1,1,1,1.253611111,0.417777778,0.4999999999999999,0.4175,0.150555556,3.2,0.89,2,0.6739850000000001,30,0,3,2,1,1,1
148,149,3,pt,1,1,1,1,1.190833333,0.366111111,0.681111111,0.366666667,0.040277778,3.0,0.82,1,0.483333,30,1,3,2,0,1,1
149,150,1,walk,1,1,1,1,0.075555556,0.048333333,0.0194444439999999,0.019722222,0.062222222,1.5,0.04,0,0.2112679999999999,30,1,5,2,0,1,1
150,151,3,pt,1,1,1,1,1.253611111,0.417777778,0.4999999999999999,0.4175,0.150555556,3.2,0.89,2,0.6739850000000001,30,1,3,2,0,1,1
151,152,2,cycle,1,1,1,1,0.751388889,0.208055556,0.445277778,0.280833333,0.136944444,3.0,0.63,1,0.5153310000000001,31,0,1,2,0,1,0
152,153,2,cycle,1,1,1,1,0.754722222,0.21,0.455833333,0.238333333,0.153888889,3.0,0.61,1,0.41958,31,0,1,2,0,1,0
153,154,1,walk,1,1,1,1,0.488333333,0.188611111,0.189444444,0.1397222219999999,0.147777778,1.5,0.34,0,0.328032,31,0,3,2,0,1,0
154,155,1,walk,1,1,1,1,0.061666667,0.0608333329999999,0.022222222,0.001111111,0.042222222,1.5,0.0,0,1.25,31,0,5,2,0,1,0
155,156,1,walk,1,1,1,1,0.491111111,0.178611111,0.131111111,0.168611111,0.170833333,1.5,0.44,0,0.410214,31,0,3,2,0,1,0
156,157,1,walk,1,1,1,1,0.488333333,0.188611111,0.189444444,0.1397222219999999,0.147777778,1.5,0.34,0,0.328032,31,1,3,2,1,0,0
157,158,1,walk,1,1,1,1,0.061666667,0.0608333329999999,0.022222222,0.001111111,0.042222222,1.5,0.0,0,1.25,31,1,5,2,1,0,0
158,159,1,walk,1,1,1,1,0.491111111,0.178611111,0.131111111,0.168611111,0.170833333,1.5,0.44,0,0.410214,31,1,3,2,1,0,0
159,160,3,pt,1,1,1,1,0.280555556,0.097777778,0.06,0.08,0.059722222,0.0,0.2,0,0.190972,32,0,3,4,1,0,0
160,161,3,pt,1,1,1,1,0.295,0.108055556,0.0841666669999999,0.049444444,0.085,0.0,0.16,0,0.0449438,32,0,3,4,1,0,0
161,162,3,pt,1,1,1,1,0.929722222,0.266944444,0.23,0.247222222,0.13,0.0,0.68,0,0.198876,32,0,3,4,1,0,0
162,163,3,pt,1,1,1,1,1.001111111,0.338055556,0.246666667,0.198611111,0.081111111,0.0,0.61,0,0.2321679999999999,32,0,3,4,1,0,0
163,164,3,pt,1,1,1,1,0.963333333,0.292222222,0.325,0.288888889,0.148888889,1.5,0.67,0,0.627885,33,0,3,2,1,0,0
164,165,3,pt,1,1,1,1,1.279166667,0.408611111,0.283333333,0.433611111,0.131111111,1.5,1.14,1,0.376682,33,0,5,2,1,0,0
165,166,3,pt,1,1,1,1,1.036944444,0.283611111,0.333333333,0.366111111,0.115277778,3.2,0.87,1,0.3125949999999999,33,0,3,2,1,0,0
166,167,4,drive,1,1,1,1,0.475277778,0.134722222,0.1,0.113888889,0.384722222,0.0,0.32,0,0.00487805,34,0,3,4,1,0,0
167,168,1,walk,1,1,1,1,0.1475,0.1005555559999999,0.029444444,0.0775,0.1166666669999999,0.0,0.27,0,0.0501792,35,0,3,4,0,0,0
168,169,3,pt,1,1,1,1,1.069166667,0.404166667,0.333333333,0.306944444,0.1066666669999999,2.4,11.26,1,0.677828,36,0,3,2,1,0,0
169,170,1,walk,1,1,1,1,0.1030555559999999,0.054444444,0.068333333,0.123333333,0.047222222,0.0,10.73,0,0.6509010000000001,36,0,5,2,1,0,0
170,171,3,pt,1,1,1,1,1.134444444,0.413055556,0.316666667,0.356388889,0.0427777779999999,2.4,11.4,1,0.647701,36,0,3,2,1,0,0
171,172,3,pt,1,1,1,1,0.874722222,0.305555556,0.411666667,0.252222222,0.091111111,0.0,0.59,1,0.47467,37,0,2,1,1,0,2
172,173,3,pt,1,1,1,1,0.859166667,0.298333333,0.166666667,0.268611111,0.308333333,1.45,0.59,0,0.7207859999999999,37,0,2,1,1,0,2
173,174,2,cycle,1,1,1,1,0.723888889,0.2847222219999999,0.1,0.244722222,0.2872222219999999,2.4,0.51,0,0.491487,37,1,1,3,1,1,2
174,175,4,drive,1,1,1,1,0.255,0.093611111,0.08,0.0875,0.116944444,1.5,0.16,0,0.422222,37,1,5,3,1,1,2
175,176,4,drive,1,1,1,1,0.8275,0.309722222,0.4233333329999999,0.211666667,0.181388889,3.0,0.51,1,0.396325,37,1,3,3,1,1,2
