id,obs_id,choice,chosen_alt,av_1,av_2,timept,timecar,costpt,costcar,walkingtimept,waitingtimept,nbtransf,ovt_pt_transit,housetype,ownhouse,income,gender,st,caravail,education,age,destact,nbcar,nbhousehold
10360177,38,2,private,1,1,213,39,24.8,4.93,89,53,5,142,1,1,5,1,False,1,1,2,2,2,4
10360193,39,2,private,1,1,159,28,43.2,3.22,98,11,5,109,1,1,6,1,False,1,2,2,1,2,2
10360195,40,2,private,1,1,194,47,19.2,4.87,82,22,5,104,1,1,5,2,True,1,0,3,1,2,4
10360196,41,2,private,1,1,126,26,13.2,2.57,60,12,4,72,1,1,5,2,True,1,0,3,1,2,4
10360202,42,2,private,1,1,69,5,4.8,0.41,27,7,3,34,1,1,4,2,False,1,1,2,2,2,4
10360202,43,2,private,1,1,123,3,18.4,0.29,40,21,3,61,1,1,4,2,False,1,1,2,4,2,4
10360205,44,2,private,1,1,99,8,3.0,0.63,49,9,2,58,1,1,4,1,True,1,2,4,5,2,2
10360205,45,2,private,1,1,48,17,4.8,1.61,19,3,1,22,1,1,4,1,True,1,2,4,2,2,2
10360212,46,2,private,1,1,61,15,6.2,1.67,21,7,3,28,1,1,5,1,False,1,2,3,3,2,2
10360212,47,2,private,1,1,73,8,6.2,0.61,27,9,2,36,1,1,5,1,False,1,2,3,2,2,2
10360217,48,1,transit,1,1,81,32,8.8,3.05,20,9,3,29,1,1,4,2,True,0,1,1,1,2,5
10360225,49,2,private,1,1,60,17,4.8,1.71,22,4,2,26,1,1,5,2,True,1,2,3,1,1,2
10360225,50,2,private,1,1,228,64,77.8,8.93,39,15,4,54,1,1,5,2,True,1,2,3,2,1,2
10360225,51,2,private,1,1,269,180,89.2,26.94,6,24,2,30,1,1,5,2,True,1,2,3,1,1,2
10360235,52,2,private,1,1,219,49,38.4,6.31,34,86,4,120,1,1,6,1,False,1,1,4,1,2,3
10360236,53,2,private,1,1,193,40,15.8,3.51,112,14,3,126,1,1,6,2,False,1,1,3,1,2,3
10360266,54,2,private,1,1,74,22,7.8,1.72,38,9,1,47,1,1,3,2,True,1,0,4,5,1,2
10360266,55,2,private,1,1,162,14,6.0,1.1,66,39,3,105,1,1,3,2,True,1,0,4,4,1,2
10360266,56,2,private,1,1,84,34,11.0,3.28,43,1,2,44,1,1,3,2,True,1,0,4,6,1,2
10360284,57,2,private,1,1,162,33,14.0,3.23,67,26,6,93,1,1,4,2,True,1,1,4,3,2,2
10360284,58,2,private,1,1,151,28,9.6,2.29,90,25,2,115,1,1,4,2,True,1,1,4,3,2,2
10360285,59,2,private,1,1,176,30,11.0,3.13,86,6,2,92,1,1,4,2,False,1,2,2,3,2,4
10360285,60,2,private,1,1,143,34,11.0,3.34,60,17,4,77,1,1,4,2,False,1,2,2,3,2,4
10360286,61,2,private,1,1,185,61,43.2,8.22,58,34,4,92,1,1,4,1,False,1,2,2,1,2,4
10360322,62,2,private,1,1,142,42,26.0,5.2,52,30,3,82,1,2,4,2,False,1,1,2,1,1,3
10360322,63,2,private,1,1,108,18,11.0,1.28,42,5,3,47,1,2,4,2,False,1,1,2,2,1,3
10360366,64,2,private,1,1,189,36,15.8,3.02,91,18,6,109,1,1,2,1,False,1,2,4,3,1,2
10360414,65,2,private,1,1,108,23,9.6,2.37,39,15,4,54,1,1,4,1,False,1,1,2,1,1,5
10360414,66,2,private,1,1,102,24,9.6,2.6,38,18,4,56,1,1,4,1,False,1,1,2,1,1,5
10360415,67,2,private,1,1,77,18,6.0,1.4,45,8,2,53,1,1,4,2,False,1,1,2,4,1,5
10360458,68,2,private,1,1,9,0,0.0,0.05,9,0,0,9,1,2,5,2,True,1,1,2,2,2,5
10360458,69,2,private,1,1,16,3,3.0,0.26,5,0,0,5,1,2,5,2,True,1,1,2,4,2,5
10360462,70,2,private,1,1,124,46,12.4,4.66,41,27,5,68,2,2,1,2,False,1,2,4,5,1,1
10360464,71,1,transit,1,1,91,22,9.6,2.06,42,11,2,53,1,1,5,1,True,0,1,1,1,1,4
10360465,72,2,private,1,1,138,12,9.6,0.92,93,18,1,111,1,1,5,2,False,1,1,2,2,1,4
10360465,73,2,private,1,1,130,20,9.6,1.91,63,17,3,80,1,1,5,2,False,1,1,2,6,1,4
10360475,74,1,transit,1,1,53,1,5.6,0.11,21,0,1,21,1,1,6,1,True,1,3,3,5,2,4
10360475,75,2,private,1,1,162,85,42.0,10.03,33,21,5,54,1,1,6,1,True,1,3,3,11,2,4
10360518,76,2,private,1,1,104,35,11.0,3.23,30,11,4,41,1,1,6,2,False,1,2,1,1,2,2
10360519,77,2,private,1,1,279,117,46.2,10.71,38,38,4,76,1,1,6,1,False,1,2,1,1,2,2
10360519,78,2,private,1,1,127,31,12.4,2.43,25,58,4,83,1,1,6,1,False,1,2,1,5,2,2
10360526,79,1,transit,1,1,151,44,13.2,4.11,52,10,4,62,2,1,3,1,True,1,1,2,1,1,4
10360527,80,2,private,1,1,102,14,9.6,1.56,38,17,4,55,2,1,3,2,True,1,1,2,2,1,4
10360527,81,2,private,1,1,82,12,6.0,1.03,49,13,1,62,2,1,3,2,True,1,1,2,3,1,4
10360532,82,2,private,1,1,105,29,11.0,3.23,24,18,4,42,2,2,5,1,False,1,2,2,1,2,3
10360533,83,2,private,1,1,251,76,65.8,11.14,53,59,7,112,2,2,5,2,False,1,1,2,1,2,3
10360536,84,2,private,1,1,166,41,12.6,3.03,120,5,2,125,2,2,4,1,False,1,2,2,1,1,1
10360564,85,2,private,1,1,105,45,20.4,4.73,27,12,3,39,1,1,3,1,True,1,1,4,2,2,2
10360564,86,2,private,1,1,146,55,32.8,6.92,45,12,4,57,1,1,3,1,True,1,1,4,3,2,2
10360566,87,2,private,1,1,141,36,14.4,3.4,46,8,4,54,1,1,4,1,False,1,1,3,4,1,2
10360574,88,2,private,1,1,58,16,4.8,1.69,20,4,2,24,2,1,4,1,False,1,1,2,1,2,4
10360574,89,2,private,1,1,51,16,4.8,0.85,22,13,1,35,2,1,4,1,False,1,1,2,3,2,4
10360574,90,2,private,1,1,44,15,4.8,1.56,19,0,1,19,2,1,4,1,False,1,1,2,1,2,4
10360575,91,2,private,1,1,81,15,12.4,1.67,9,45,2,54,2,1,4,2,True,1,1,3,2,2,4
10360575,92,2,private,1,1,19,3,3.0,0.29,13,0,0,13,2,1,4,2,True,1,1,3,4,2,4
10360575,93,2,private,1,1,49,16,4.8,1.69,15,2,2,17,2,1,4,2,True,1,1,3,10,2,4
10360626,94,2,private,1,1,45,15,4.8,1.5,17,0,2,17,1,2,6,1,True,1,0,3,1,1,2
10540009,95,2,private,1,1,222,55,49.6,6.32,80,34,4,114,1,2,4,2,False,1,1,2,1,2,4
10540009,96,2,private,1,1,99,16,5.6,1.23,79,3,1,82,1,2,4,2,False,1,1,2,2,2,4
10540009,97,2,private,1,1,65,5,5.4,0.42,60,0,0,60,1,2,4,2,False,1,1,2,4,2,4
10540031,98,2,private,1,1,306,92,20.2,7.6,78,45,8,123,2,2,4,2,False,1,1,2,4,2,4
10540046,99,2,private,1,1,120,39,12.2,2.69,70,4,3,74,1,2,3,1,True,1,0,2,1,1,1
10540063,100,2,private,1,1,67,10,4.8,0.76,28,4,1,32,1,1,2,1,False,1,1,4,2,1,2
10540063,101,2,private,1,1,57,18,4.8,1.5,30,5,1,35,1,1,2,1,False,1,1,4,7,1,2
10540066,102,2,private,1,1,57,17,4.8,1.39,22,2,2,24,1,1,5,1,True,1,0,3,1,2,3
10540067,103,2,private,1,1,26,32,2.6,2.31,23,0,0,23,1,1,5,1,True,1,0,3,2,2,3
10540067,104,2,private,1,1,10,0,0.0,0.05,10,0,0,10,1,1,5,1,True,1,0,3,2,2,3
10540067,105,2,private,1,1,66,16,3.0,1.22,35,2,1,37,1,1,5,1,True,1,0,3,1,2,3
10540067,106,2,private,1,1,42,3,2.6,0.25,38,0,0,38,1,1,5,1,True,1,0,3,3,2,3
10540128,107,2,private,1,1,124,40,12.2,2.63,78,5,2,83,1,2,3,2,False,1,1,4,10,2,2
10540130,108,2,private,1,1,120,40,9.0,2.76,64,4,1,68,1,1,5,1,True,1,1,2,3,2,4
10540130,109,2,private,1,1,120,36,11.0,2.54,62,2,1,64,1,1,5,1,True,1,1,2,7,2,4
10540131,110,2,private,1,1,101,31,17.6,3.17,46,9,2,55,1,1,5,2,True,1,1,2,5,2,4
10540131,111,2,private,1,1,105,31,14.2,3.15,63,1,1,64,1,1,5,2,True,1,1,2,7,2,4
10540169,112,2,private,1,1,112,20,7.8,1.54,86,3,1,89,2,1,3,1,True,1,1,4,2,1,2
10540178,113,2,private,1,1,66,3,4.8,0.27,14,32,3,46,2,1,5,1,False,1,1,3,2,2,2
10540178,114,2,private,1,1,186,34,8.2,2.75,111,19,3,130,2,1,5,1,False,1,1,3,1,2,2
10540184,115,2,private,1,1,110,13,11.0,0.86,55,8,2,63,2,1,6,1,False,1,2,4,1,2,2
10540184,116,2,private,1,1,111,13,11.0,0.86,51,20,3,71,2,1,6,1,False,1,2,4,1,2,2
10540187,117,2,private,1,1,96,34,11.0,2.23,39,5,2,44,2,1,6,1,True,1,1,2,1,1,4
10540188,118,1,transit,1,1,54,18,4.8,1.12,4,18,3,22,2,1,4,2,False,0,1,1,1,2,5
10540199,119,1,transit,1,1,119,38,11.0,3.19,61,11,4,72,1,1,3,2,True,1,0,1,1,1,3
10540202,120,2,private,1,1,92,16,8.2,1.1,82,0,0,82,1,1,6,2,False,1,1,3,2,2,2
10540215,121,2,private,1,1,67,17,6.2,1.53,17,2,3,19,2,2,6,2,False,1,1,2,1,2,2
10540216,122,2,private,1,1,139,33,16.4,4.04,64,6,2,70,2,2,6,1,False,1,2,1,1,2,2
10540237,123,2,private,1,1,64,11,6.0,0.81,48,3,1,51,2,2,6,2,False,1,2,2,5,2,3
10540250,124,1,transit,1,1,46,35,11.0,2.56,35,8,3,43,2,2,4,1,True,1,0,1,1,1,2
10540252,125,2,private,1,1,172,16,7.8,1.19,113,12,2,125,2,2,4,2,False,1,2,1,5,1,2
10540260,126,1,transit,1,1,123,41,13.6,2.85,46,11,2,57,2,2,3,2,True,1,1,1,1,1,2
10540265,127,2,private,1,1,168,28,70.2,2.07,34,36,5,70,1,1,6,1,True,1,3,2,4,2,4
10540266,128,2,private,1,1,234,40,15.8,2.92,87,49,6,136,1,1,5,2,True,1,2,2,1,2,4
10540269,129,2,private,1,1,97,33,11.0,2.28,67,0,0,67,1,1,3,2,False,1,1,3,6,2,4
10540271,130,2,private,1,1,196,25,12.6,2.18,95,18,5,113,1,2,5,2,False,1,2,2,4,2,5
10540271,131,2,private,1,1,93,8,6.0,0.59,52,11,1,63,1,2,5,2,False,1,2,2,4,2,5
10540297,132,2,private,1,1,270,171,86.6,19.62,49,50,4,99,1,1,6,1,True,1,2,2,1,1,2
10540298,133,1,transit,1,1,167,63,25.0,6.81,51,17,5,68,1,1,6,2,True,0,2,2,1,1,2
10540305,134,2,private,1,1,101,19,5.6,1.38,100,0,0,100,1,1,4,1,False,1,1,4,2,1,2
10540306,135,2,private,1,1,264,88,27.6,9.49,133,27,6,160,1,1,4,1,False,1,1,4,10,1,2
10540351,136,2,private,1,1,470,180,61.2,20.32,213,31,8,244,1,2,5,1,False,1,1,3,7,2,2
10540354,137,2,private,1,1,76,14,7.6,1.07,31,7,2,38,1,2,5,2,True,1,1,2,1,2,2
10540384,138,2,private,1,1,65,17,4.8,1.25,39,0,0,39,1,1,6,1,False,1,0,4,7,2,2
10540395,139,2,private,1,1,140,66,26.6,4.68,33,18,6,51,1,1,6,1,True,1,2,3,1,2,4
10540396,140,2,private,1,1,111,16,10.4,1.27,99,0,0,99,1,1,6,2,False,1,2,2,1,2,4
10540462,141,2,private,1,1,141,38,11.6,3.01,96,4,1,100,1,1,4,1,True,1,1,4,7,1,2
10540514,142,2,private,1,1,67,14,4.8,0.97,46,0,0,46,1,1,3,2,True,1,1,4,3,2,2
10540514,143,1,transit,1,1,65,14,4.8,0.97,34,3,1,37,1,1,3,2,True,1,1,4,3,2,2
10540514,144,2,private,1,1,44,6,3.0,0.5,38,0,0,38,1,1,3,2,True,1,1,4,3,2,2
10540514,145,1,transit,1,1,103,26,17.2,1.98,40,13,3,53,1,1,3,2,True,1,1,4,3,2,2
10540515,146,2,private,1,1,207,55,49.6,4.17,71,27,4,98,2,2,4,2,True,1,2,1,1,2,2
10540515,147,2,private,1,1,68,16,5.2,1.23,53,0,0,53,2,2,4,2,True,1,2,1,2,2,2
10540517,148,2,private,1,1,117,33,8.8,2.43,97,0,0,97,2,2,4,1,False,1,1,2,1,2,3
10540518,149,2,private,1,1,96,32,11.0,2.38,63,3,1,66,2,2,4,2,False,1,2,2,1,2,3
10540531,150,2,private,1,1,166,44,12.2,3.12,101,5,2,106,1,1,2,1,False,1,2,4,7,2,2
10540532,151,2,private,1,1,119,37,13.6,2.85,48,12,4,60,1,1,2,2,False,1,0,4,2,2,2
10540532,152,2,private,1,1,32,6,3.0,0.5,26,0,0,26,1,1,2,2,False,1,0,4,2,2,2
10540548,153,2,private,1,1,110,35,11.0,2.37,68,0,0,68,1,1,5,1,False,1,1,3,1,1,3
10540548,154,2,private,1,1,55,18,4.8,1.19,27,4,1,31,1,1,5,1,False,1,1,3,1,1,3
10540559,155,2,private,1,1,46,5,5.6,0.5,35,0,0,35,1,1,4,1,False,1,1,4,1,2,2
10540559,156,2,private,1,1,265,45,19.2,4.4,127,37,7,164,1,1,4,1,False,1,1,4,7,2,2
10540560,157,2,private,1,1,81,12,4.8,0.86,35,10,2,45,1,1,3,1,False,1,1,4,2,2,2
10540560,158,2,private,1,1,60,18,4.8,1.23,39,0,0,39,1,1,3,1,False,1,1,4,2,2,2
10540563,159,2,private,1,1,461,117,79.4,12.4,196,41,10,237,1,1,6,2,False,1,2,3,1,2,5
10540606,160,2,private,1,1,164,24,9.6,1.72,72,18,2,90,1,1,3,1,True,1,2,4,2,1,2
10540647,161,2,private,1,1,146,18,12.4,1.32,65,5,2,70,1,1,6,2,False,1,0,3,2,2,2
10540659,162,2,private,1,1,71,10,4.8,0.75,23,12,1,35,1,1,2,1,False,1,2,4,2,1,2
10540660,163,2,private,1,1,71,10,4.8,0.75,23,12,1,35,1,1,2,1,False,1,2,4,2,1,2
10540672,164,2,private,1,1,84,31,9.6,2.26,9,12,4,21,1,1,5,2,False,1,1,2,1,2,4
10540675,165,2,private,1,1,25,3,2.6,0.28,24,0,0,24,1,1,2,2,True,1,1,4,2,0,2
10540675,166,2,private,1,1,23,4,5.6,0.34,16,0,0,16,1,1,2,2,True,1,1,4,2,0,2
10540689,167,2,private,1,1,141,28,6.0,2.04,49,17,3,66,1,1,6,1,False,1,1,2,1,2,4
10540689,168,2,private,1,1,118,28,6.0,2.04,32,15,6,47,1,1,6,1,False,1,1,2,1,2,4
10540691,169,2,private,1,1,135,20,13.2,1.53,53,37,3,90,1,1,6,2,False,1,2,2,1,2,4
10540691,170,2,private,1,1,68,7,5.2,0.55,62,0,0,62,1,1,6,2,False,1,2,2,2,2,4
10540692,171,2,private,1,1,278,62,61.6,5.96,111,40,5,151,1,1,6,1,False,1,2,2,7,2,4
10540692,172,2,private,1,1,33,4,5.4,0.38,26,0,0,26,1,1,6,1,False,1,2,2,2,2,4
10540756,173,2,private,1,1,51,7,2.6,0.48,45,0,0,45,1,1,2,2,False,1,2,4,2,1,1
10540774,174,2,private,1,1,232,77,50.0,7.08,112,9,4,121,1,1,6,1,False,1,2,3,3,2,3
10540806,175,2,private,1,1,22,5,2.6,0.37,15,0,0,15,1,2,3,2,True,1,0,4,7,2,2
10540807,176,2,private,1,1,59,11,4.8,0.84,37,0,0,37,2,1,1,1,True,1,2,2,1,1,1
10541086,177,2,private,1,1,245,71,28.4,6.54,114,15,4,129,2,1,5,2,True,1,1,2,1,1,4
10541086,178,2,private,1,1,85,35,11.0,2.47,39,3,1,42,2,1,5,2,True,1,1,2,1,1,4
10980037,179,1,transit,1,1,17,17,3.0,1.19,9,0,0,9,1,1,6,2,True,1,2,1,1,1,4
10980079,180,2,private,1,1,154,30,9.6,2.26,130,0,0,130,2,2,5,1,True,1,2,2,1,2,5
10980080,181,2,private,1,1,126,20,6.2,1.54,49,27,2,76,2,2,5,2,True,1,2,2,4,2,5
10980080,182,2,private,1,1,153,41,11.0,4.88,88,18,3,106,2,2,5,2,True,1,2,2,2,2,5
10980080,183,2,private,1,1,48,20,2.2,1.54,42,0,0,42,2,2,5,2,True,1,2,2,4,2,5
10980080,184,2,private,1,1,114,20,6.2,1.49,49,28,2,77,2,2,5,2,True,1,2,2,5,2,5
10980111,185,2,private,1,1,203,29,14.0,2.51,167,2,1,169,1,1,2,1,False,1,1,4,2,1,1
10980195,186,2,private,1,1,109,35,19.0,3.15,28,36,3,64,2,1,3,2,False,1,2,2,3,1,4
10980223,187,2,private,1,1,89,46,72.1,3.26,39,5,2,44,1,1,3,1,False,1,1,4,4,2,2
11460027,188,1,transit,1,1,128,46,21.0,3.77,57,10,2,67,1,1,5,2,True,0,1,3,1,1,2
11460028,189,1,transit,1,1,192,96,48.2,12.18,27,33,3,60,1,1,5,1,False,1,1,4,6,1,2
11460060,190,2,private,1,1,239,70,45.4,6.6,49,30,6,79,1,1,6,1,True,1,2,3,4,2,5
11460070,191,2,private,1,1,155,47,22.6,4.14,44,33,6,77,1,1,6,2,False,1,2,3,7,2,1
11460082,192,2,private,1,1,206,71,26.0,6.67,62,32,6,94,1,2,5,2,False,1,1,3,1,2,2
11460106,193,1,transit,1,1,20,3,2.2,0.24,17,0,0,17,1,1,2,1,False,1,1,4,1,1,2
14050001,194,2,private,1,1,70,10,6.8,0.71,61,0,0,61,1,1,4,2,True,1,1,2,1,2,5
14050001,195,2,private,1,1,35,9,6.8,0.7,22,0,0,22,1,1,4,2,True,1,1,2,1,2,5
14050047,196,2,private,1,1,183,69,34.4,9.02,42,53,5,95,2,2,6,1,True,1,1,2,1,2,2
14050047,197,2,private,1,1,181,53,36.4,6.81,60,16,4,76,2,2,6,1,True,1,1,2,6,2,2
14050075,198,1,transit,1,1,145,54,32.4,6.87,67,20,4,87,1,1,4,1,True,1,1,2,1,2,4
14050076,199,2,private,1,1,70,16,7.4,1.07,62,0,0,62,1,1,4,2,True,1,1,2,3,2,4
14050076,200,2,private,1,1,100,23,8.4,1.87,45,18,2,63,1,1,4,2,True,1,1,2,2,2,4
14050133,201,2,private,1,1,284,95,62.6,12.4,84,74,3,158,1,2,6,1,True,1,1,2,7,1,2
14050134,202,2,private,1,1,105,24,21.8,2.74,36,15,1,51,1,2,6,2,True,1,2,2,4,1,2
14050180,203,2,private,1,1,55,9,3.4,0.9,34,0,0,34,2,2,2,2,False,1,1,3,1,1,4
14050180,204,2,private,1,1,20,8,3.4,0.55,15,0,0,15,2,2,2,2,False,1,1,3,2,1,4
14050182,205,2,private,1,1,107,30,9.6,3.08,41,22,2,63,1,2,4,1,False,1,2,1,2,2,3
14050186,206,2,private,1,1,126,20,11.4,1.62,64,30,2,94,1,2,5,1,False,1,1,2,1,2,5
14050186,207,2,private,1,1,134,20,8.0,1.62,75,28,2,103,1,2,5,1,False,1,1,2,1,2,5
14050193,208,2,private,1,1,97,24,6.8,1.91,67,3,2,70,1,1,4,2,True,1,2,2,4,1,4
14050226,209,1,transit,1,1,18,6,4.0,0.45,11,0,0,11,2,2,3,2,True,0,1,4,1,0,1
14050250,210,1,transit,1,1,170,112,56.4,16.64,16,33,3,49,1,1,6,1,True,1,1,4,6,2,2
14050278,211,2,private,1,1,289,62,40.0,7.9,60,81,6,141,1,1,6,1,False,1,2,3,4,2,4
19130012,212,2,private,1,1,99,58,30.6,7.6,12,7,1,19,1,1,2,1,False,1,1,3,7,2,2
19130036,213,2,private,1,1,253,46,41.0,4.7,67,83,4,150,1,1,5,2,False,1,2,1,10,2,4
19130080,214,2,private,1,1,98,31,15.2,3.19,38,13,1,51,1,1,6,2,False,1,2,2,7,2,5
19130080,215,2,private,1,1,14,2,0.0,0.26,14,0,0,14,1,1,6,2,False,1,2,2,4,2,5
19130092,216,2,private,1,1,127,36,29.0,3.74,54,0,0,54,2,2,3,2,False,1,1,2,1,1,1
19130092,217,2,private,1,1,28,6,0.0,0.44,28,0,0,28,2,2,3,2,False,1,1,2,7,1,1
19130148,218,2,private,1,1,76,27,15.8,2.46,24,4,1,28,1,1,3,2,True,1,1,2,1,2,4
19130148,219,2,private,1,1,12,8,3.4,0.67,12,0,0,12,1,1,3,2,True,1,1,2,7,2,4
19130149,220,2,private,1,1,162,34,21.6,3.57,28,54,2,82,1,1,2,1,False,1,2,2,1,2,4
19130149,221,2,private,1,1,150,32,23.2,3.54,65,15,2,80,1,1,2,1,False,1,2,2,1,2,4
19130179,222,2,private,1,1,44,12,6.8,0.97,34,0,0,34,1,2,3,1,False,1,2,4,1,1,2
19130202,223,2,private,1,1,188,51,45.0,4.52,94,15,3,109,1,1,6,1,False,1,3,3,1,2,4
19130205,224,2,private,1,1,134,12,15.8,1.07,32,30,2,62,1,1,2,2,False,1,1,3,5,2,2
19130205,225,2,private,1,1,218,20,21.2,1.98,38,55,1,93,1,1,2,2,False,1,1,3,5,2,2
19130206,226,2,private,1,1,134,12,15.8,1.07,32,30,2,62,1,1,2,1,False,1,1,4,5,2,2
19130206,227,2,private,1,1,118,33,24.2,3.28,68,0,0,68,1,1,2,1,False,1,1,4,5,2,2
19130213,228,2,private,1,1,380,135,94.0,17.66,105,56,7,161,1,1,4,2,False,1,1,2,2,2,3
19130238,229,2,private,1,1,138,12,24.8,1.07,44,14,2,58,1,1,4,1,True,1,1,4,6,1,2
19130252,230,1,transit,1,1,180,86,51.4,13.04,34,30,2,64,1,1,5,1,False,1,1,4,1,1,2
19130279,231,1,transit,1,1,519,378,152.8,46.31,88,40,6,128,2,1,3,2,True,1,1,4,3,2,2
19130291,232,2,private,1,1,197,102,63.6,14.51,35,8,3,43,2,2,6,2,False,1,2,2,3,2,3
19130292,233,2,private,1,1,129,33,32.0,3.58,31,14,2,45,2,2,6,2,False,1,2,2,1,2,3
19130374,234,2,private,1,1,367,133,72.0,18.24,100,52,6,152,2,2,3,2,True,1,1,2,2,1,3
19130486,235,1,transit,1,1,19,4,3.4,0.3,15,0,0,15,2,2,5,1,True,1,2,2,1,1,2
19130578,236,2,private,1,1,44,16,9.6,1.74,9,1,1,10,2,2,3,2,True,1,2,2,1,2,2
19130578,237,2,private,1,1,31,6,3.4,0.67,20,0,0,20,2,2,3,2,True,1,2,2,2,2,2
19130578,238,2,private,1,1,29,5,3.4,0.64,22,0,0,22,2,2,3,2,True,1,2,2,6,2,2
19130685,239,2,private,1,1,228,171,72.0,21.11,20,29,3,49,1,1,5,1,False,1,1,3,7,2,5
19130766,240,2,private,1,1,145,54,33.6,7.47,19,22,4,41,2,2,4,1,False,1,1,3,1,1,2
19130798,241,2,private,1,1,113,42,34.6,3.77,53,0,2,53,1,1,3,1,False,1,1,2,7,1,2
19130798,242,2,private,1,1,188,42,34.6,3.77,54,37,2,91,1,1,3,1,False,1,1,2,1,1,2
19130827,243,2,private,1,1,221,56,38.4,6.62,61,43,3,104,1,1,4,1,False,1,1,2,1,2,4
19130855,244,2,private,1,1,72,27,15.2,2.88,26,1,1,27,2,1,2,2,True,1,1,2,1,2,3
19130855,245,2,private,1,1,126,27,29.6,2.89,33,15,2,48,2,1,2,2,True,1,1,2,1,2,3
